COMPANY NAME,Symbol,Company_Age,Log_Issue_Price,Range_Width_pct,Days_to_List,Revenue_CAGR,PAT_CAGR,Avg_Operating_Margin,Avg_ROE_pct,Avg_ROCE_pct,Avg_DE_pct,Avg_Interest_Coverage,Avg_Assets_Turnover,Log_Latest_Revenue
Data Patterns (India) Limited,DATAPATTNS,1.2203389830508475,0.4912968356862777,0.35682386570331964,0.6666666666666666,0.539114985403299,0.09988596928709759,2.013651335929581,-0.10550644716568001,-0.029722792607802785,-0.5639598683179181,1.003922247216935,-0.6357874207703559,-0.44829757987020036
Deepak Builders & Engineers India Limited,DBEIL,-0.9491525423728814,-0.4186954124187962,1.1110211412166173,-0.3333333333333333,-0.6968003408682326,-0.056906885911101164,0.18142619632950113,0.4044278647311652,0.14057152635181389,0.3889846893452476,-0.1608698160004614,0.01170160897123341,-0.8349868187700197
Delhivery Limited,DELHIVERY,-0.5423728813559322,0.33347594600129454,0.3704924709108137,1.6666666666666667,-0.502645657812311,1.7707828827611294,-1.1650075962937894,-1.7016462574000488,-1.512542778918549,-0.5416993259131524,-0.48500317240583724,-0.16512270437185125,1.3242821933888462
Devyani International Limited,DEVYANI,0.8135593220338984,-1.1148676336797712,-1.4182723305771907,1.3333333333333333,0.3289295353248907,-1.490702117026602,-0.24121153608987075,-0.5032033087340848,-0.6529945242984257,1.3539478497152118,-0.25534982984368687,0.0039005363237443738,0.8487030705681584
Dharmaj Crop Guard Limited,DHARMAJ,-0.8135593220338984,-0.2857576273185664,3.9745470918185264,0.6666666666666666,0.44945524206246895,-0.15410343250982472,-0.2723390618444316,-0.0017030248966021244,-0.06942162902121839,-0.17157861733814062,0.372094364653631,0.63058670567203,-0.3136747003500445
Dodla Dairy Limited,DODLA,0.5423728813559322,0.22234985909470462,-8.710475337844086,1.3333333333333333,-0.24148654948035295,-0.1226567269868456,-0.33967040366088846,-0.0021896034384884457,-0.042180013689253996,-0.5119663479124208,4.702370652362001,1.6031204290589953,0.6293400440851719
Dr. Agarwal's Health Care Limited,AGARWALEYE,-0.4745762711864407,0.1684330175336558,-0.04058573047887275,-0.6666666666666666,0.49086050393740727,0.2996757019417321,0.22772075319933097,-0.371016138188306,-0.6382101300479125,0.3958823222030624,-0.20066908923112414,-0.4329595319356409,0.13551549018719053
Dreamfolks Services Limited,DREAMFOLKS,-0.3389830508474576,-0.011785834536811276,1.3777764325824575,1.6666666666666667,0.09840199817917891,-0.657423941230706,-0.3602299772103055,0.6936177114589247,1.2490930869267625,-0.5527316193760777,1.9291111495645148,1.9021615472127413,-0.7147680860230368
EMS Limited,EMSLIMITED,-0.4745762711864407,-0.38552253131297826,0.5776592929657174,1.0,-0.09216163974725126,-0.4263413111116477,0.9647200837961319,0.19033330630119222,0.25241273100616024,-0.386554841406699,1.1984195650919998,-0.1625223468226881,-0.627257140193292
EPACK Durable Limited,EPACK,-1.0847457627118644,-0.31150248166656325,0.588358152174698,0.0,-0.08587159905537843,-1.1740048652759754,-0.4774806538850091,-0.6965371827102426,-0.3830424366872005,1.59988503945237,-0.23227778739112875,0.04290589956118956,0.0582811731868867
ETHOS Limited,ETHOSLTD,-0.2711864406779661,0.8409653124502253,-0.537800356226215,1.3333333333333333,0.39743269012829124,0.3370609751756424,-0.10447303534313092,-0.5330467926364446,-0.5061088295687884,-0.32609604431206557,0.009055776662629113,0.032504469364537505,-0.04482774461971703
Easy Trip Planners Limited,EASEMYTRIP,0.0,-0.4891336131880181,-11.254051254229907,1.0,0.07840749601259399,-1.490702117026602,1.3854213976027556,0.469305003649339,0.8927960301163591,-0.23911793907090964,1.886197150602757,-0.4277588168373152,-0.8176232012304437
Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY,0.4745762711864407,0.009058408579192753,-0.5200949138963343,-0.3333333333333333,1.5794131784652232,0.5939629658627902,-0.04352309676387171,0.9202011191306465,0.9196269678302534,-0.33262789360923856,2.120263021283959,1.1610596457012838,-0.5579568961140675
Electronics Mart India Limited,EMIL,-1.0169491525423728,-1.4740653629258422,0.24399995492278784,1.3333333333333333,-0.4075917849914004,-0.48357977521987544,-0.5183599895397583,-0.3127889060092451,-0.36921629021218344,0.30182369232377093,-0.19824652477360546,1.5173086299366163,1.0235676228081807
Elin Electronics Limited,ELIN,1.423728813559322,-0.2502633758341567,0.7071717991797543,0.6666666666666666,-0.8611598446063441,-0.7524506019594617,-0.5794446400648008,-0.7601167788500527,-0.6724332648870637,-0.4016303495845743,-0.08507815654380807,1.0362424833414592,-0.2247349129815057
Emcure Pharmaceuticals Limited,EMCURE,1.4915254237288136,0.9599146743777359,-0.5941205251612282,-0.3333333333333333,-0.4908249006659628,-0.3492149916263929,0.26162486764988424,0.45308571891979565,0.4604893908281999,0.37231540993886214,0.016438830247447717,0.06630911750365695,1.2042642368968282
Emmvee Photovoltaic Power Limited,EMMVEE,-0.2711864406779661,-0.36145431130075817,0.20344573814453104,-0.3333333333333333,2.2168841752986053,3.5293368583266793,0.2800792515766657,0.8202903251966588,-0.20042778918548954,3.6997962063019285,-0.11564861279344749,-0.2821387940841867,0.7737426163254446
Entero Healthcare Solutions Limited,ENTERO,-1.0169491525423728,1.150811296353122,0.04462988046718825,-1.0,0.2826373176551119,8.157117662686192,-0.6982305446155158,-1.100072986781283,-0.8488877481177276,0.0025604849244918884,-0.21854992213185667,1.4991061270924748,0.962206930599743
Enviro Infra Engineers Limited,EIEL,-0.4067796610169492,-0.6896352114053076,1.076457458790025,-1.0,1.4970706612932028,0.5425857998484436,0.8189137763050807,1.3736923201686801,1.3422142368240937,0.11344515859330129,0.16559958470323588,0.08451162034779804,-0.2876910788178935
Epack Prefab Technologies Limited,EPACKPEB,0.2711864406779661,-0.4144783449695253,-0.23052414041890495,-0.3333333333333333,0.698333047790364,0.3628222581265143,-0.2705425061116407,0.2806747222447489,0.18684120465434628,0.3469457072686422,-0.08692391994001267,0.6227856330245409,-0.09757806941135663
Equitas Small Finance Bank Limited,EQUITASBNK,0.6779661016949152,-1.963888307698007,-5.089494009248259,1.6666666666666667,-0.3392981481473742,-0.9357685633685088,-0.08906685344190761,-0.6864812261779256,0.0,0.0,0.0,0.0,0.6763637215500086
Exicom Telesystems Limited,EXICOM,0.6101694915254238,-0.7250808269268751,-0.1588290786387168,-0.3333333333333333,-0.6534585048523043,-1.490702117026602,-0.7531225599523603,-2.005271267537102,-0.8820157426420261,0.24342895960704417,-0.248658937532445,0.032504469364537505,-0.2960038494450782
