COMPANY NAME,Symbol,Company_Age,Log_Issue_Price,Range_Width_pct,Days_to_List,Revenue_CAGR,PAT_CAGR,Avg_Operating_Margin,Avg_ROE_pct,Avg_ROCE_pct,Avg_DE_pct,Avg_Interest_Coverage,Avg_Assets_Turnover,Log_Latest_Revenue,Ind_Financial Services,Ind_Healthcare & Pharmaceuticals,Ind_Industrial Manufacturing & Capital Goods,Ind_Information Technology & Digital Platforms,"Ind_Infrastructure, Construction & Utilities","Ind_Materials, Energy & Commodities"
Anupam Rasayan India Limited,ANURAS,0.0,-0.2893887424722667,-10.756331346180005,381.6666666666667,0.016378042638483248,-0.303097196654261,0.6266519063792173,-0.7198929527207852,-0.6518993839835729,-0.06730417515807069,-0.08380919420891726,-0.7033967170485942,0.21931296788410817,0.0,0.0,0.0,0.0,0.0,1.0
Apeejay Surrendra Park Hotels Limited,PARKHOTELS,1.0847457627118644,-0.650043209522368,0.4427156171362558,-0.3333333333333333,0.31023982266043365,6.069122316592788,0.583854564580534,1.9259589652096345,1.7502908966461328,0.1701938652871402,-0.1253388706235219,8.16122216804811,-0.6591964811475176,0.0,0.0,0.0,0.0,0.0,0.0
Aptus Value Housing Finance India Limited,APTUS,-0.4067796610169492,0.0566332655398788,-7.808367207130951,2.0,0.316438384529714,0.020550968617158535,4.921985648070965,0.04030492255291526,0.6941649555099246,1.135392172231802,-0.17448232104747063,-0.9400292540224282,0.17583653186692355,1.0,0.0,0.0,0.0,0.0,0.0
Archean Chemical Industries Limited,ACI,-0.4067796610169492,0.1790667968388359,0.43860041037225983,1.3333333333333333,-0.8736188556627961,-0.7648820325187531,1.2277166107226403,0.8733273862622659,0.19409650924024646,0.4350995453832892,0.8086174078560304,-0.3471477328132618,-0.33841553762599225,0.0,0.0,0.0,0.0,0.0,1.0
Arisinfra Solutions Limited,ARISINFRA,-1.2203389830508475,-0.34189817682591805,1.076457458790025,-0.3333333333333333,0.13390155464419903,8.157117662686192,-0.5681128582992303,-1.59930257075663,-0.6733915126625599,1.2511104143805194,-0.2818826786641287,0.6201852754753778,-0.357071808172439,0.0,0.0,0.0,0.0,1.0,0.0
Arkade Developers Limited,ARKADE,1.152542372881356,-0.8139346413907919,1.2409049790852418,-0.3333333333333333,0.7581929718754927,-1.350848505386889,1.021647420039649,0.6188468088557294,0.7563141683778234,-0.12371322568845693,4.876103132029764,-0.2587355761417196,-0.5502638173276179,0.0,0.0,0.0,0.0,1.0,0.0
Ather Energy Limited,ATHERENERG,-0.6779661016949152,-0.025074056996431664,0.7923030727347782,0.0,2.216884175298605,-1.490702117026602,-3.901365681632828,-2.1081015327224075,-1.512542778918549,0.6846684433296757,-0.48500317240583724,-0.05590768730700477,0.5633643094605577,0.0,0.0,0.0,0.0,0.0,0.0
Atlanta Electricals Limited,ATLANTAELE,1.0169491525423728,0.7098243410171876,-0.5613293392693619,-0.3333333333333333,0.4898863666264642,0.2551516442806857,0.201375840068694,1.9259589652096345,1.7502908966461328,-0.015153890369441354,-0.07042740958643354,0.7554038680318548,0.04149742746244757,0.0,0.0,1.0,0.0,0.0,0.0
Avalon Technologies Limited,AVALON,0.2711864406779661,0.23828358856881215,-0.45235129257820283,2.0,-0.19334478456154136,-0.23340413409297933,-0.1932720563762527,0.673830184088882,0.180407255304586,0.7978784553482784,-0.034550383572705734,0.2873395091825128,-0.056457291502820216,0.0,0.0,1.0,0.0,0.0,0.0
Awfis Space Solutions Limited,AWFIS,-0.7457627118644068,0.12678481562508367,-0.07768075153242938,-1.0,1.645553365010771,3.917615239803027,-0.2901558707466186,-2.1081015327224075,-0.8813312799452431,1.2758791869153996,-0.30910768875814726,-0.4511620347797823,-0.07727588901298879,0.0,0.0,0.0,0.0,1.0,0.0
Azad Engineering Limited,AZAD,1.3559322033898304,0.3965017666755688,-0.5705283933268079,0.0,0.6394450701808514,0.4067201420132026,1.2386733741589493,-0.4024815505636202,-0.3171971252566735,0.43381930292104315,-0.08969256503431959,-0.6565902811636601,-0.7280251108602297,0.0,0.0,1.0,0.0,0.0,0.0
BLS E- Services Limited,BLSE,-0.8813559322033898,-0.7683638891827431,-1.4182723305771907,-0.3333333333333333,1.3609714049542896,0.8832245444225071,0.14772700991807827,-0.25077717405995753,-0.08635067305498523,-0.5639598683179182,2.910480475284075,0.03423804106397962,-0.8546133261802399,0.0,0.0,0.0,1.0,0.0,0.0
BMW Ventures Limited,BMWVENTLTD,0.6101694915254238,-1.033535181210187,0.15510838885328143,-0.3333333333333333,-0.5827163805558709,-0.4183702496997213,-0.6077060612370981,0.14832535885167455,0.7092231348391511,1.5238281862360872,-0.1570629289957893,3.4753778644563638,0.18772138368520663,1.0,0.0,0.0,0.0,0.0,0.0
Baazar Style Retail Limited,STYLEBAAZA,-0.6779661016949152,0.14015544895723434,-0.2763241991653745,-1.0,0.663153612369727,8.157117662686192,-0.41956532044155465,-0.912091476765875,-0.7299281314168379,1.24470920206929,-0.27980619484339847,-0.042905899561189564,0.03577781171114027,0.0,0.0,0.0,0.0,0.0,0.0
Bajaj Housing Finance Limited,BAJAJHFL,-0.3389830508474576,-1.3288949106690424,1.8783348910866342,-0.3333333333333333,0.6463516152272282,0.2434342674292503,1.1759642757499613,-0.19819965939502077,0.0,0.0,0.0,0.0,1.0655111282716534,1.0,0.0,0.0,0.0,0.0,0.0
Bansal Wire Industries Limited,BANSALWIRE,1.2203389830508475,-0.21952151818665278,0.22681193726482682,-0.3333333333333333,-0.21178193752663968,0.08220735705344016,-0.46729677732924,0.14962290163003816,0.056793292265571574,0.9567852850499032,-0.07123493107227315,1.8761579717211119,0.6271704083691425,0.0,0.0,0.0,0.0,0.0,1.0
Belrise Industries Limited,BELRISE,0.4745762711864407,-1.1148676336797712,1.466258988378653,-0.3333333333333333,-0.302742851603924,-0.15634042863140238,-0.21484036751549934,-0.18189927824182972,-0.2269849418206708,0.7695302293985474,-0.19605468074061252,0.341947017714936,1.2354137167230967,0.0,0.0,1.0,0.0,0.0,0.0
Bharti Hexacom Limited,BHARTIHEXA,0.5423728813559322,0.46893459982117913,-0.203732827858944,0.3333333333333333,-0.3309242909688396,-0.48179470099341964,0.6858980326769998,0.6730192198524043,-0.3319815195071868,1.1791555625228616,-0.190286670127473,-0.6227856330245409,1.2322824304878275,0.0,0.0,0.0,0.0,1.0,0.0
Bikaji Foods International Limited,BIKAJI,0.5423728813559322,-0.08323464703293076,0.023993328900743828,1.0,-0.22296192862621278,0.1963270739002752,-0.10783788820776849,-0.08588111264293267,-0.060112936344969045,-0.37994460991796,0.8771413739401281,0.7372013651877131,0.3977034994329733,0.0,0.0,0.0,0.0,0.0,0.0
Billionbrains Garage Ventures Limited,GROWW,-1.0169491525423728,-1.024954129565673,0.023993328900743828,-0.3333333333333333,2.216884175298605,8.157117662686192,0.4083366697332417,-1.0363311977941774,0.08858658453114317,-0.5585123060040759,-0.48500317240583724,-0.798959856980335,0.6074495261914353,0.0,0.0,0.0,0.0,0.0,0.0
Blue Jet Healthcare Limited,BLUEJET,2.3728813559322033,0.03940952606256666,-0.20110015552644916,-0.3333333333333333,-0.5937046838650482,-0.33940507577282014,1.4621123388971018,0.7344903089773739,0.9004620123203286,-0.532580864294299,7.586722039568553,-0.15732163172436212,-0.40151908252401386,0.0,1.0,0.0,0.0,0.0,0.0
BlueStone Jewellery and Lifestyle Limited,BLUESTONE,-0.5423728813559322,0.3849259073001202,-0.40282803647667104,0.0,1.4790293535901635,1.493729082976475,-4.554923239719839,1.9259589652096345,-1.512542778918549,-0.5639598683179182,-0.48500317240583724,-0.3757516658540549,0.24993412603910786,0.0,0.0,0.0,0.0,0.0,0.0
Brainbees Solutions Limited,FIRSTCRY,-0.4745762711864407,0.293694157899514,1.0010120014502901,-0.3333333333333333,0.7472705856039106,-1.490702117026602,-1.032036409992254,-1.755818668396724,-1.502138945927447,-0.24813189110100847,-0.45815308300167273,-0.13911912888022118,1.164973544652043,0.0,0.0,0.0,1.0,0.0,0.0
